,ENGLISHNAME,CHINESENAME,CLASS,TYPE,EASTING,NORTHING,E_ADDRESS,C_ADDRESS,Sources
1519,LES PETITS LASCARS INTERNATIONAL KINDERGARTEN (CENTRAL),LES PETITS LASCARS INTERNATIONAL KINDERGARTEN (CENTRAL),SCH,KDG,834040,815899,"ROOM 301 & 302, 3/F., WELLINGTON PLAZA, 56-58 WELLINGTON STREET, CENTRAL, HONG KONG",香港中環威靈頓街56及58號威寧大厦3樓3樓301及302室,GeoCom
1527,HONG KONG YOUNG WOMEN'S CHRISTIAN ASSOCIATION HELEN LEE KINDERGARTEN,香港基督教女青年會趣沂幼稚園,SCH,KDG,811170,815384,"1/F., JOYSMARK, MUN TUNG ESTATE, TUNG CHUNG, NEW TERRITORIES",新界東涌滿東邨滿樂坊一樓,GeoCom
1528,THE SALVATION ARMY SO UK KINDERGARTEN,救世軍蘇屋幼稚園,SCH,KDG,834223,822367,"G/F., LARKSPUR HOUSE, SO UK ESTATE, SHAM SHUI PO, KOWLOON",九龍深水埗蘇屋邨彩雀樓地下,GeoCom
1529,TAI KWONG HILARY COLLEGE,大光德萃書院,SCH,SES,834202,834146,"LOT NOS. 1934, 1639, 1314 S.B IN D.D.6, 178 KAM SHAN, TAI PO, NEW TERRITORIES",新界大埔錦山178號丈量約分第6約地段第1934、1639及1314ｓ﹒B號,GeoCom
1530,ATLAS 2.0,ATLAS 2.0,AMD,GHS,835801,817785,"Flat B, 6/F, Comfort Building, 88 Nathan Road, Tsim Sha Tsui, Kowloon.",九龍尖沙咀彌敦道88號 安樂大廈6字樓B室,GeoCom
1538,OXBRIDGE BRITISH SCHOOL,劍津英國學校,SCH,PRS,837291,819179,"SHOP B ON G/F. & THE WHOLE OF 1/F., STAR RUBY, 1 SAN WAI STREET, HUNG HOM, KOWLOON",九龍紅磡新圍街1號寶御地下B舖及一樓全層,GeoCom
1539,OCEAN INN,宏洋旅店,AMD,GHS,835751,818541,"Flat G, 11/F, New Lucky House, 15 Jordan Road, Jordan, Kowloon.",九龍佐敦佐敦道15號華豐大廈11字樓G室,GeoCom
1540,DYNASTY HOTEL,皇朝酒店,AMD,GHS,835414,820306,"Flat E, 11/F, Kingland Apartments, 739 Nathan Road, Mong Kok, Kowloon.",九龍旺角彌敦道739號金輪大廈11字樓E室,GeoCom
1541,"DORSETT TSUEN WAN, HONG KONG",香港荃灣帝盛酒店,AMD,HTL,831410,825712,"28 Kin Chuen Street, Kwai Chung, New Territories.",新界葵涌健全街28號,GeoCom
1542,THE ARCA,雅格,AMD,HTL,834809,812120,"B2-1/F(Portion),2-3/F,5/F,Transfer Girder(Portion) ,6-8/F,9-12/F(Portion),15-16/F(Portion),17-23/F,25 -33/F,35/F,36/F(Portion),R/F(Portion),Lev 121.11&1 23.27(Portion),43 Heung Yip Road,Wong Chuk Hang,HK","香港黃竹坑香葉道43號地庫第2層至1字樓(部份),2至3字樓,5字樓,Transfer Girder(部份),6至8字樓,9至12字樓(部份),15至16字樓(部份),17至23字樓,25至33字樓,35字樓,36字樓(部份),天台(部份),Lev121.11及123.27(部份)",GeoCom
